date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2022-05-31,Beinbeuger,leg curl,80,10,Fehlende Gewicht/Reps aus erstem späterem vollständigem Beinbeuger-Eintrag vom 2022-06-13 übernommen,7,filled_missing_weight_from_next_exercise;filled_missing_reps_from_next_exercise
2022-06-09,Bankdrücken,bankdrücken,80,5,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schrägbankdrücken,Schrägbankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Preacher Curls,Scott curls,15,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schrägbank Kurzhantel,schräg/kurzhantel,18,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schulterdrücken,schulterdrücken,14,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Bizepsmaschine,bizepsmaschine,30,8,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Brustpresse,decline chest press,70,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,15,ok;actual_entry_in_incomplete_workout
2022-06-13,Kniebeuge,squats,70,10,,16,low_exercise_count
2022-06-13,Beinbeuger,seated leg curl,80,10,,17,low_exercise_count
2022-06-13,Beinstrecker,leg extension,72.5,10,,18,low_exercise_count
2022-06-13,Beinpresse,seated leg press,92.5,6,Fehlende Reps aus letztem vollständigem Beinpresse-Eintrag vom 2022-05-31 übernommen,19,low_exercise_count;filled_missing_reps_from_previous_exercise
2022-06-17,Bankdrücken,bankdrücken,70,6,,20,low_exercise_count
2022-06-17,Schrägbankdrücken,schrägbankdrücken,50,8,,21,low_exercise_count
2022-06-17,Preacher Curls,Scott curls,15,10,,22,low_exercise_count
2022-06-19,Bankdrücken,bankdrücken,80,5,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Schrägbankdrücken,Schrägbankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Preacher Curls,Scott curls,15,10,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Schrägbank Kurzhantel,schräg/kurzhantel,18,10,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Schulterdrücken,schulterdrücken,14,10,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Bizepsmaschine,bizepsmaschine,30,8,Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Brustpresse,decline chest press,70,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Aus vorherigem vollständigem Workout vom 2022-06-09 übernommen,copied_from_2022-06-09,filled_from_previous_workout
2022-06-19,Latzug Kabel,latziehen,67,10,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,23,ok;actual_entry_in_incomplete_workout
2022-06-19,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,24,ok;actual_entry_in_incomplete_workout
2022-06-19,Rückenstrecker,unterer rücken,12,14,körper; Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-04-11 übernommen,25,actual_entry_in_incomplete_workout;filled_missing_weight_from_next_exercise
