date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2022-05-31,Beinstrecker,leg extension,30,10,,2,ok
2022-05-31,Kniebeuge,Squat,90,4,,3,ok
2022-05-31,Kniebeuge,squat,100,2,,4,ok
2022-05-31,Wadenpresse,wadenpresse,50,8,,5,ok
2022-05-31,Beinpresse,Beinpresse,200,6,,6,ok
2022-05-31,Beinbeuger,leg curl,80,10,Fehlende Gewicht/Reps aus erstem späterem vollständigem Beinbeuger-Eintrag vom 2022-06-13 übernommen,7,filled_missing_weight_from_next_exercise;filled_missing_reps_from_next_exercise
2022-06-06,Bankdrücken,bankdrücken,80,5,,8,ok
2022-06-06,Schrägbankdrücken,Schrägbankdrücken,50,10,,9,ok
2022-06-06,Preacher Curls,Scott curls,15,10,,10,ok
2022-06-06,Schrägbank Kurzhantel,schräg/kurzhantel,18,10,,11,ok
2022-06-06,Schulterdrücken,schulterdrücken,14,10,,12,ok
2022-06-06,Bizepsmaschine,bizepsmaschine,30,8,,13,ok
2022-06-09,Bankdrücken,bankdrücken,80,5,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schrägbankdrücken,Schrägbankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Preacher Curls,Scott curls,15,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schrägbank Kurzhantel,schräg/kurzhantel,18,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Schulterdrücken,schulterdrücken,14,10,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Bizepsmaschine,bizepsmaschine,30,8,Aus vorherigem vollständigem Workout vom 2022-06-06 übernommen,copied_from_2022-06-06,filled_from_previous_workout
2022-06-09,Brustpresse,decline chest press,70,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt,15,ok;actual_entry_in_incomplete_workout
2022-06-13,Kniebeuge,squats,70,10,,16,low_exercise_count
2022-06-13,Beinbeuger,seated leg curl,80,10,,17,low_exercise_count
2022-06-13,Beinstrecker,leg extension,72.5,10,,18,low_exercise_count
