Übung,top wiederholungen,top Gewicht(Summe),,
leg extension,10,30,,
Squat,4,90,,
squat,2,100,31.05.2022,
wadenpresse,8,50,,
Beinpresse,6,200,,
leg curl,,,,
bankdrücken,5,80,06.06.2022,
Schrägbankdrücken,10,50,,
Scott curls,10,15,,
schräg/kurzhantel,10,18,,
schulterdrücken,10,14,,
bizepsmaschine,8,30,,
,,,09.06.2022,
decline chest press,12,70,,
squats,10,70,13.06.2022,
seated leg curl,10,80,,
leg extension,10,"72,5",,
seated leg press,,"92,5",,
bankdrücken,6,70,17.06.2022,
schrägbankdrücken,8,50,,
Scott curls,10,15,,
latziehen,10,67,19.06.2022,
Rudern vorgebeugt ,12,50,,
unterer rücken,14,körper,,
dips,,,,
bankdrücken,4,80,21.06.2022,
schrägbankdrücken ,10,50,,
Scott curls,8,20,,
bizepsmaschine ,8,30,,
schulterdrücken,10,14,,
butterfly's kabel,8,"13,25",,
squats ,8,80,22.06.2022,
leg extension ,10,"72,5",,
leg curls,8,85,,
wadenpresse,12,45,,
Rudern kabelzug,10,57,23.06.2022,
latziehen kabel,12,57,,
dips,12,eigen+kette,,
Rudern vorgebeugt ,12,50,,
Trizeps dips kabelzug,12,"24,5",,
seitheben,12,8,,
bankdrücken ,10,70,26.06.2022,
schrägbankdrücken ,10,50,,
Scott curls,10,15,,
bizepsmaschine ,10,25,,
schulterdrücken ,12,12,,
schrägbank kurzhantel,12,18,,
decline chest press,12,70,,
"squats
",8,80,27.06.2022,
wadenpresse,12,45,,
beinpresse,8,225,,
leg extension ,,,,
leg curls,,,,
,,,28.06.2022,
,,,,
,,,,
,,,,
,,,,
bankdrücken,10,70,01.07.2022,
schrägbankdrücken ,8,50,,
Scott curls,,,,
squats ,15,50,03.07.2022,
Beinpresse ,8,200,,
wadenpresse,12,45,,
leg curls ,10,"87,5",,
leg extension ,12,80,,
Bauchmaschine ,15,12,,
,,,04.07.2022,
,,,,
,,,,
,,,,
,,,,
,,,,
bankdrücken ,10,70,06.07.2022,
schrägbankdrücken,8,50,,
bizepscurls ,12,15,,
Trizeps kabel,15,21,,
schulterdrücken,12,14,,
schrägbank kurzhantel ,20,12,,
butterfly kabel,20,12,,
lower chest,10,70,,
latziehen kabelzug,,,09.07.2022,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
squats,,,11.07.2022,
,,,,
,,,,
,,,,
,,,,
decline chest press,12,80,12.07.2022,
Bankdrücken ,3,80,,
Hammer curls,12,12,,
bankdrücken schrägbank,10,15,,
schulterdrücken,15,12,,
butterfly's ,,,,
,,,,
Bankdrücken ,65,8,02.09.2022,
schrägbankdrücken ,,,,
,,,,
,,,,
,,,,
,,,,
latziehen kabelzug,57,12,07.09.2022,
Rudern langhantel,60,12,,
dips,,,,
,,,,
,,,,
bankdrücken ,60,12,07.10.2022,
,,,,
,,,,
,,,,
bankdrücken,50,10,11.04.2023,
latziehen kabel,,,,
,,,,
walk in,,,,
latziehen kabel,45,12,,
schrägbank kurzhantel,"12,5",12,,
Langhantel bankdrücken,50,10,,
Rudern vorgebeugt ,50,12,,
schulterdrücken kh,"7,5",12,,
rückenstrecker,eigen,12,,
beinstrecker,45,12,,
Trizeps kabel,35,,,
,,,,
squats,20,,08.05.2023,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
squats,,,15.05.2023,
bankdrücken,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
bankdrücken,60,10,30.05.3023,
beinbeuger ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
bankdrücken,,,,
latziehen,,,,
squats,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
bankdrücken kurzhantel,20,12,,
Schulterdrücken kurzhantel,"12,5",12,,
sz stange ,15,12,,
,,,,
bankdrücken,,,,
latziehen kabelzug,,,,
,,,,
,,,,
,,,,
,,,,
schrägbank kurzhantel,"17,5",12,05.08.2023,
bankdrücken,60,12,,
bizepscurls sz,15,12,,
schulterdrücken,15,8,,
hammer curls seil,40,12,,
butterfly Maschine ,60,10,,
,,,,
latziehen kabel,60,10,07.08.2023,
squats,70,8,,
Trizeps dips kabel,20,12,,
reverse butterfly,40,12,,
seitheben,6,12,,
Rudern kabel,8,65,,
,,,,
Bankdrücken ,10,70,09.08.2023,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
squats ,10,70,11.07.2023,
latziehen kabel,10,55,,
trzieps überkopf,12,30,,
seitheben,12,7,,
unterer Rücken ,15,eigen,,
bauch,kombiniert,,,
,,,,
bankdrücken ,12,60,12.08.2024,
schrägbank kurzhantel ,12,"17,5",,
Bizeps sz,15,12,,
schulterdrücken ,12,"12,5",,
reverse curls ,8,6,,
butterfly,12,80,,
,,,,
latziehen kabel,12,,15.08.2023,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
bankdrücken,10,60,04.10.2023,
latziehen kabelzug,10,60,,
squats ,10,70,,
schrägbank kurzhantel ,10,20,,
Rudern kabelzug,8,65,,
Trizeps Kabel,12,30,,
,,,,
bankdrücken ,6,70,4,
latziehen kabelzug,12,60,3,
squats ,8,70,3,
schrägbank kurzhantel,12,20,,
Trizeps Kabel ,10,25,,
butterfly maschine,8,60,,
,,,,
latziehen kabelzug ,8,60,,16.10.2023
Bankdrücken ,10,60,,
Rudern kabel,10,55,,
,,,,
,,,,
bankdrücken,7,70,,19.10.2023
latziehen kabelzug ,10,65,,
schrägbank kurzhantel,12,20,,
squats ,,,,
Trizeps kabel,,,,
Bizeps sz,12,"17,5",,
,,,,
latziehen kabel,10,60,,
Trizeps kabel,12,25,,
squats ,5,80,,
seitheben vorgebeugt ,10,10,,
Rudern kabel,12,65,,
,,,,
bankdrücken ,10,60,,
schrägbank kurzhantel ,,20,,
,,,,
,,,,
latziehen kabelzug ,,,,
schrägbank kurzhantel ,,,,
butterfly kurzhantel,,,,
squats ,,,,
Trizeps kabel,,,,
bankdrücken maschine,,,,
Bizeps Pyramidentraining ,,,,
,,,,
latziehen kabel 1,12,60,27.11.2023,
schrägbank kurzhantel ,10,"17,5",,
bankdrücken ,8,60,,
squats ,,,,
,,,,
latziehen kabel 2,12,55,29.11.2023,
bankdrücken ,12,60,,
Rudern langhantel,12,60,,
Brustpresse ,8,60,,
,,,,
bankdrücken,6,70,09.12.2023,
latziehen kabelzug ,10,60,,
squats ,10,70,,
butterfly maschine,60,6,,
,,,,
Umstellung auf 2er split,,,,
,,,,
bankdrücken ,8,70,12.12.2023,
schrägbank kurzhantel ,10,20,,
bizeps SZ ,10,15,,
Schultern seitheben maschine,12,40,,
,,,,
latziehen kabel,10,60,16.12.2023,
reverse butterfl maschine,8,35,,
squats ,10,70,,
seitheben vorgebeugt ,12,8,,
,,,,
,,,,
bankdrücken,12,60,11.01.2024,
Rudern kabelzug,12,60,,
latziehen kabel ,8,55,,
,,,,
bankdrücken ,4,70,15.01.2024,
schrägbank kurzhantel ,10,"17,5",,
latziehen kabel ,8,60,,
dips kabel,14,20,,
Rudern kabel,8,65,,
,,,,
bankdrücken,3,80,24.01.2024,
Rudern kabel ,10,65,,
latziehen kabel ,10,60,,
schrägbank kurzhantel ,9,20,,
Butterflies kabel,10,36,,
dips kabel,15,20,,
Bauch ,,,,
,,,,
bankdrücken ,8,70,,
schrägbank lang,6,50,,
latziehen kabel,10,60,,
butterfly reverse,,,,
,,,,
,,,,
Hammer curls,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bankdrücken ,8,70,,
latziehen kabelzug,8,60,,
Trizeps kabel,14,"17,5",,
Bizeps sz,10,"12,5",,
butterfly maschine,10,55,,
,,,,
,,,,
bankdrücken ,9,70,,
klimmzüge ,5,,,
military press ,6,30,,
beinstrecker,12,110,,
,,,,
bankdrücken,12,50,,
klimmzüge,5,eigen,,
dips kabelzug ,10,"17,5",,
,,,,
,,,,
schrägbank maschine,12,50,30.04.2024,
latziehen kabel,8,60,,
Rudern kabel,10,60,,
schulterdrücken Langhantel ,7,30,,
butterfly ,10,45,,
Trizeps kabel,15,"17,5",,
,,,,
bankdrücken,12,60,02.05.2024,
latziehen kabel ,7,60,,
Trizeps kabel,10,20,,
Rudern kabel,,,,
butterfly,,,,
schulterdrücken,,,,
,,,,
latziehen kabel,10,60,06.05.2024,
bankdrücken,6,65,,
schulterdrücken,8,15,,
Rudern kabel,8,65,,
,,,,
bankdrücken,6,65,08.05.2024,
klimmzüge ,8,eigen ,,
Trizeps kabel ,12,20,,
seitheben maschine,10,40,,
butterfly reverse,10,,,
,,,,
bankdrücken,4,70,29.05.2024,
latziehen kabel ,10,60,,
Trizeps kabel ,10,"22,5",,
schrägbank langhantel,10,40,,
schulterdrücken kurz,8,10,,
Rudern kabel ,8,65,,
,,,,
Bankdrücken ,6,65,28.05.2025,
latziehen Kabel ,8,55,,
Trizeps kabel,15,15,,
Bauch Maschine,12,65,,
Rudern Kabel ,10,60,,
,,,,
latziehen Kabel ,8,55,02.06.2025,
Bankdrücken ,10,60,,
